"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE DESCRIPTION","INSPECTION DATE","ACTION","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG","SCORE","GRADE","GRADE DATE","RECORD DATE","INSPECTION TYPE","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA","Location"
"50088988","CITY ONE","Manhattan","2726","FREDERICK DOUGLASS BOULEVARD",,"2123688818","Chinese","10/29/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","44",,,"01/02/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50052280","DUMPLING MAN","Manhattan","100","SAINT MARKS PLACE","10009","9179126009","Chinese","11/21/2023","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","13","A","11/21/2023","01/02/2026","Cycle Inspection / Re-inspection","40,72738126675","-73,98482497684","103","02","003200","1005825","1004350014","MN22","POINT (-73.984824976838 40.727381266747)"
"41433795","THE AVENUE","Queens","71-22","MYRTLE AVENUE","11385","3477253853","American","03/03/2022","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","13","A","03/03/2022","01/02/2026","Cycle Inspection / Re-inspection","40,70204227155","-73,87939987109","405","32","062900","4090502","4037090032","QN19","POINT (-73.879399871087 40.702042271549)"
"41422482","PARKCHESTER FISH & CHIPS","Bronx","1884","ARCHER STREET","10462","7188282535","Seafood","09/08/2025","Violations were cited in the following area(s).","10G","Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.","Not Critical","25","B","09/08/2025","01/02/2026","Cycle Inspection / Re-inspection","40,83786790026","-73,86337774496","209","18","021602","2029089","2039370075","BX46","POINT (-73.863377744956 40.837867900261)"
"50062657","PERIZIA KOSHER PIZZA","Brooklyn","1626","EAST   16 STREET","11229","7185134900","Pizza","11/17/2022","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","10","A","11/17/2022","01/02/2026","Cycle Inspection / Re-inspection","40,60990619607","-73,95756626393","315","48","055200","3182429","3067780015","BK44","POINT (-73.957566263928 40.609906196071)"
"40395653","MCDONALD'S","Bronx","300","EAST  204 STREET","10467","7186531387","Hamburgers","10/11/2022","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","12","A","10/11/2022","01/02/2026","Cycle Inspection / Initial Inspection","40,87295715991","-73,87855715106","207","11","042500","2017946","2033330027","BX43","POINT (-73.87855715106 40.872957159909)"
"40547085","OMONIA CAFE","Brooklyn","7612","3 AVENUE","11209","7184911435","Mediterranean","01/22/2024","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","24","B","01/22/2024","01/02/2026","Cycle Inspection / Re-inspection","40,63057607823","-74,02816225077","310","43","006400","3149164","3059490045","BK31","POINT (-74.028162250774 40.630576078226)"
"50123494","THE OASIS CAFE","Manhattan","857","9 AVENUE","10019","3478880061","Coffee/Tea","09/13/2022","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","75",,,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,76705698525","-73,98634297585","104","06","013900","1026848","1010650034","MN15","POINT (-73.986342975847 40.767056985247)"
"50141884","SUSHI OKU","Manhattan","22","ORCHARD STREET","10002","6469565535",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,7154230124","-73,99160582053","103","01","001600","1003841","1002980005","MN27","POINT (-73.991605820527 40.715423012404)"
"41382158","DUNKIN","Queens",,"MERRICK BOULEVARD",,"7185274653","Donuts","08/16/2022","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","13","A","08/16/2022","01/02/2026","Cycle Inspection / Initial Inspection",,,,,,,,,
"50034542","GATA GOLOSA / YOGURBERRY","Queens","81-20","ROOSEVELT AVENUE","11372","9294717268","Latin American","01/09/2025","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","34",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,74754763949","-73,88458277464","404","25","026901","4036868","4014920010","QN29","POINT (-73.884582774644 40.747547639492)"
"50176951","APNA PIND 11","Queens","131-03","101 AVENUE","11419","3479557057",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,69277140737","-73,81607604919","409","29","015400","4539068","4094770020","QN54","POINT (-73.816076049194 40.692771407372)"
"50105927","CRAFT + CARRY","Manhattan","116","SAINT MARKS PLACE","10009","9172658078","Bottled Beverages","01/31/2023","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","26",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,72728516964","-73,9845976985","103","02","003200","1005830","1004350022","MN22","POINT (-73.9845976985 40.727285169642)"
"50067656","FITOOR","Queens","179-22","UNION TURNPIKE","11366","7189697000","American","07/03/2025","Violations were cited in the following area(s).","15-22","Original label for smoking products sold or offered for sale.","Not Applicable",,,,"01/02/2026","Smoke-Free Air Act / Initial Inspection","40,72681384926","-73,788424401","408","24","127700","4155490","4072290016","QN06","POINT (-73.788424401 40.726813849256)"
"50126683","COCKTAIL MAGIQUE","Brooklyn","17","WYCKOFF AVENUE","11237","8056896298","American","02/16/2024","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"01/02/2026","Administrative Miscellaneous / Initial Inspection","40,70667460244","-73,92301959919","304","34","044700","3072409","3031770002","BK77","POINT (-73.923019599185 40.706674602436)"
"41247133","MERMELSTEIN CATERERS","Brooklyn","351","KINGSTON AVENUE","11213","7187783100","Jewish/Kosher","05/21/2025","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","12","A","05/21/2025","01/02/2026","Cycle Inspection / Initial Inspection","40,66706240978","-73,94240095462","309","35","033500","3341927","3012860001","BK63","POINT (-73.942400954621 40.667062409776)"
"50110246","THE MEAT HOOK (Governors Island)","Manhattan","517","CLAYTON ROAD","10004","7186099300",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,69105356361","-74,01962370639","101","01","000500","1086421","1000010010","MN99","POINT (-74.019623706393 40.691053563611)"
"50146126","PRET A MANGER","Manhattan","100","CENTRAL PARK SOUTH","10019","6467915860","Soups/Salads/Sandwiches","07/30/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","10","A","07/30/2025","01/02/2026","Cycle Inspection / Initial Inspection","40,76579556074","-73,97656003898","105","04","013700","1023755","1010117505","MN17","POINT (-73.976560038976 40.765795560736)"
"40790187","FERRIS BOOTH COMMONS - ALFRED LERNER HALL","Manhattan","2920","BROADWAY","10027","2128544609","American","03/12/2025","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","33",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,8070406237","-73,9645888065","109","07","020300","1082166","1018860001","MN09","POINT (-73.964588806502 40.807040623703)"
"50175633","MODALO GELATO CORP","Brooklyn","156","TOMPKINS AVENUE","11206","6464276877",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,6938202385","-73,94600551055","303","36","026100","3049132","3017670041","BK75","POINT (-73.94600551055 40.693820238502)"
"41685305","BONAO CHIMI RESTAURANT","Queens","76-14","JAMAICA AVENUE","11421","3478293089","Latin American","09/18/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","33",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,69158830889","-73,86539870082","409","32","000400","4183075","4089050007","QN53","POINT (-73.865398700823 40.691588308888)"
"50000642","THE BAR ROOM","Manhattan","117","EAST   60 STREET","10022","2125615523","American","06/06/2022","Violations were cited in the following area(s).","04K","Evidence of rats or live rats present in facility's food and/or non-food areas.","Critical","24",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,76317512494","-73,96847119422","108","04","011402","1041915","1013950008","MN40","POINT (-73.968471194221 40.763175124936)"
"50088568","REALCARIBBEANPOT RESTAURANT & BAKERY","Brooklyn","3018","CHURCH AVENUE","11226","3474259260","Caribbean","01/28/2022","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","7","A","01/28/2022","01/02/2026","Cycle Inspection / Re-inspection","40,65080559643","-73,94929828297","317","40","082400","3109237","3048840009","BK95","POINT (-73.949298282974 40.650805596425)"
"50171813","LOS BURRITOS JUAREZ","Brooklyn","354","MYRTLE AVENUE","11205","5123643562",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,69320927048","-73,97222589242","302","35","018300","3058329","3020730028","BK68","POINT (-73.972225892421 40.693209270476)"
"50160239","LOS SABROSONES JUICE BAR & RESTAURANT","Bronx","503","EAST TREMONT AVENUE","10457","6469728362","Latin American","04/25/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","23","N",,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,84679578997","-73,89686530585","206","15","039500","2118217","2030430043","BX01","POINT (-73.896865305854 40.846795789968)"
"50004599","BELLA PIZZA OF BRONX","Bronx","4555","3 AVENUE","10458","7184838861","Pizza","02/26/2025","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","27",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,85473582086","-73,89040760775","206","15","038500","2117679","2030520038","BX01","POINT (-73.890407607752 40.854735820862)"
"50102205","CHUNG CHING","Bronx","26266","ALEXANDER AVENUE",,"3479676666","Chinese","02/01/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","23",,,"01/02/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"2",,
"50132409","TACOBEES","Brooklyn","711","NOSTRAND AVENUE","11216","9174507149","Mexican","06/06/2023","Violations were cited in the following area(s).","10G","Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.","Not Critical","7","A","06/06/2023","01/02/2026","Pre-permit (Operational) / Re-inspection","40,67294263318","-73,95020066212","308","36","031701","3031522","3012410001","BK61","POINT (-73.950200662119 40.672942633175)"
"40813992","ACQUISTA TRATTORIA","Queens","178-01","UNION TURNPIKE","11366","7189691411","Italian","03/19/2023","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","12","A","03/19/2023","01/02/2026","Cycle Inspection / Initial Inspection","40,72633354371","-73,78993403403","408","24","133900","4154680","4071910047","QN41","POINT (-73.789934034027 40.726333543709)"
"50124205","Lucky Dhaba","Queens","117-20","ROCKAWAY BOULEVARD","11420","6436396295","Indian","10/28/2025","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","41",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,67628465366","-73,82025683301","410","28","084000","4253459","4117100042","QN55","POINT (-73.82025683301 40.676284653659)"
"50080589","BLUESTONE LANE","Manhattan","11","TIMES SQUARE","10036","3476269764","Coffee/Tea","02/28/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","25","B","02/28/2024","01/02/2026","Cycle Inspection / Re-inspection","40,75689078043","-73,99002320082","105","03","011300","1087978","1010137501","MN17","POINT (-73.990023200823 40.756890780426)"
"40399886","DUNKIN'","Queens","69-08","GRAND AVENUE","11378","7182479530","Donuts","11/24/2025","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","22",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,72607440915","-73,89505048429","405","30","049302","4062593","4027910003","QN30","POINT (-73.895050484292 40.72607440915)"
"50139089","MALA PROJECT","Brooklyn","603","MANHATTAN AVENUE","11222","7185003881","Chinese","11/06/2025","Violations were cited in the following area(s).","10G","Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.","Not Critical","35",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,7231610964","-73,95045160965","301","33","056900","3066711","3026790017","BK76","POINT (-73.950451609649 40.723161096397)"
"41089876","SARABETH'S","Manhattan","40","CENTRAL PARK SOUTH","10019","2128265959","American","04/20/2022","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","12",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,76507882166","-73,97487081375","105","04","011201","1080443","1012740006","MN17","POINT (-73.974870813753 40.765078821657)"
"50111599","LHASA TIBET RESTAURANT & BAR","Queens","76-03","37 AVENUE","11372","3479526934","Asian/Asian Fusion","03/10/2025","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","28",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,74918036745","-73,88975182503","403","25","028700","4029578","4012760037","QN28","POINT (-73.889751825031 40.749180367453)"
"50119599","DHOM","Manhattan","505","EAST   12 STREET","10009","6468337965","Thai","10/24/2023","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","9","A","10/24/2023","01/02/2026","Cycle Inspection / Initial Inspection","40,72891226014","-73,98090269846","103","02","003400","1005232","1004060062","MN22","POINT (-73.980902698455 40.728912260139)"
"50105749","THE WELL COFFEE","Queens","43-29","162 STREET","11358","8454806283","Coffee/Tea","10/01/2024","Violations were cited in the following area(s).","09E","Wash hands sign not posted near or above hand washing sink.","Not Critical","23",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,75834366761","-73,80424959521","407","20","119300","4122411","4054200017","QN52","POINT (-73.804249595213 40.758343667605)"
"50179767","CEDAR BROS CORP","Brooklyn","271","BAY RIDGE AVENUE","11220","6463397841",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,63591231174","-74,0265900082","310","47","006800","3145156","3058620055","BK31","POINT (-74.026590008197 40.635912311744)"
"50179504","TACO CARMINE LLC","Brooklyn","311","6 AVENUE","11215","9143597065",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,67205975176","-73,98056215077","306","39","015500","3020986","3009760006","BK37","POINT (-73.980562150767 40.672059751755)"
"50142147","MI BELLA DAMA","Brooklyn","296","KNICKERBOCKER AVENUE","11237","6469865415","Caribbean","08/09/2024","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","28",,,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,70179755425","-73,92363476083","304","34","042900","3073178","3032190029","BK77","POINT (-73.923634760825 40.701797554248)"
"50036660","KIKOO SUSHI","Manhattan","141","1 AVENUE","10003","2125333888","Japanese","03/25/2024","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","36",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,72795220555","-73,98503410903","103","02","003800","1006381","1004500031","MN22","POINT (-73.985034109025 40.727952205546)"
"41541736","ASIA ROMA","Manhattan","40","MULBERRY STREET","10013","9177238102","American","05/14/2024","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","12","A","05/14/2024","01/02/2026","Cycle Inspection / Initial Inspection","40,71483044895","-73,9996140227","103","01","002900","1001808","1001640006","MN27","POINT (-73.999614022696 40.71483044895)"
"50124408","SOMA SALADS","Manhattan","520","8 AVENUE","10018","9296145890","Salads","04/30/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","11","A","04/30/2025","01/02/2026","Cycle Inspection / Re-inspection","40,75360548625","-73,99241670865","105","03","010900","1083624","1007860001","MN17","POINT (-73.992416708652 40.753605486254)"
"41637111","NEW JOHN GARDEN","Brooklyn","626","NOSTRAND AVENUE","11216","7187358899","Chinese","12/08/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","8","A","12/08/2024","01/02/2026","Cycle Inspection / Initial Inspection","40,67705140521","-73,94983706081","308","36","031500","3030004","3012060045","BK61","POINT (-73.949837060811 40.677051405211)"
"50086585","CAFE 41","Manhattan","222","EAST   41 STREET","10017","9294555167","Coffee/Tea","10/17/2024","Violations were cited in the following area(s).","20-08","Failure to post or conspicuously post healthy eating information","Not Critical",,,,"01/02/2026","Administrative Miscellaneous / Initial Inspection","40,74958989773","-73,97376505947","106","04","008800","1087632","1013147503","MN19","POINT (-73.973765059474 40.749589897731)"
"50162903","POTBELLY","Queens","94-00","DITMARS BOULEVARD","11369","9175363918",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,76918672107","-73,87609359539","403","21","035700","4023432","4010710001","QN27","POINT (-73.876093595385 40.769186721073)"
"50143189","CHAMPIGNON CAFÉ","Manhattan","1389","MADISON AVENUE","10029","2129871700","Coffee/Tea","01/30/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","21",,,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,7876149716","-73,95386662171","111","08","016002","1051443","1016020020","MN33","POINT (-73.953866621707 40.787614971601)"
"41271537","EL LIDER RESTAURANT","Bronx","4535","PARK AVENUE","10457","7182202923","Latin American","04/21/2022","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","12","A","04/21/2022","01/02/2026","Cycle Inspection / Re-inspection","40,85566210803","-73,89474761229","206","15","038302","2011173","2030300159","BX40","POINT (-73.894747612288 40.855662108032)"
"50163814","ZIRVE TURKISH GRILL","Queens","42-03","QUEENS BOULEVARD","11104","6318775775","Turkish","06/04/2025","Violations were cited in the following area(s).","04K","Evidence of rats or live rats in establishment's food or non-food areas.","Critical","44","C","06/04/2025","01/02/2026","Pre-permit (Operational) / Re-inspection","40,74357474109","-73,92225503291","402","26","018102","4001943","4001630004","QN31","POINT (-73.922255032914 40.74357474109)"
"50170700","THE RIPPLE ROOM","Manhattan","183","BOWERY","10002","9176588941",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,72056410933","-73,9939284495","103","01","001800","1005673","1004250001","MN27","POINT (-73.993928449496 40.720564109328)"
"50080553","TROPILYZ B RESTAURANT","Bronx","2462","GRAND CONCOURSE","10458","7186187836","Spanish","09/24/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","27",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,86154666062","-73,89761600683","205","15","023702","2094665","2031530001","BX05","POINT (-73.897616006833 40.861546660616)"
"50169078","UNCLE LOUIE G'S","Queens","29-22","DITMARS BOULEVARD","11105","7188660388",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,77670446507","-73,91153956901","401","22","011500","4447682","4008440038","QN72","POINT (-73.911539569014 40.776704465073)"
"50093579","PELICANA CHICKEN","Manhattan","52","EAST    8 STREET","10003","6467915766","Chicken","10/16/2025","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","19",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,73107929163","-73,99360636258","102","02","005900","1008837","1005480028","MN23","POINT (-73.993606362584 40.731079291627)"
"50102126","MCDONALD'S","Brooklyn","1467","ROCKAWAY PARKWAY","11236","7182885969","Hamburgers","01/05/2023","Violations were cited in the following area(s).","05A","Sewage disposal system is not provided, improper, inadequate or unapproved.","Critical","10","A","01/05/2023","01/02/2026","Cycle Inspection / Initial Inspection","40,64454669487","-73,90165461831","318","42","097400","3229698","3081850022","BK50","POINT (-73.901654618308 40.644546694874)"
"50128307","HAVELI INDIAN RESTAURANT & LOUNGE","Queens","24801-03","UNION TURNPIKE",,"3479339656","Indian","04/06/2023","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","10","A","04/06/2023","01/02/2026","Pre-permit (Operational) / Initial Inspection","0","0",,,,,"4",,
"50069925","KHAO NOM","Queens","42-06","77 STREET","11373","3479444257","Thai","02/09/2023","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","21","B","02/09/2023","01/02/2026","Cycle Inspection / Re-inspection","40,74316481953","-73,88792493481","404","25","048300","4037790","4015220010","QN50","POINT (-73.887924934808 40.743164819528)"
"41698687","FLORINDA RESTAURANT","Bronx","656","PROSPECT AVENUE","10455","3478332150","Spanish","03/01/2023","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","19",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,81542078056","-73,90331950379","202","17","008300","2005121","2026860001","BX33","POINT (-73.903319503791 40.81542078056)"
"50175955","SAMBAZON","Manhattan","58","WEST    8 STREET","10011","6466570023",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,73330546865","-73,99887422022","102","01","006300","1077275","1005530011","MN23","POINT (-73.998874220218 40.733305468652)"
"41090838","CARVEL","Queens","161-02","UNION TURNPIKE","11366","7185913801","Frozen Desserts","02/23/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","11","A","02/23/2024","01/02/2026","Cycle Inspection / Re-inspection","40,72085072376","-73,80622887922","408","24","126500","4518268","4068560034","QN38","POINT (-73.806228879217 40.720850723755)"
"50106086","WENDY'S","Queens","1","MAIN TERMINAL",,"6466776786","Hamburgers","04/18/2023","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","9","A","04/18/2023","01/02/2026","Pre-permit (Operational) / Initial Inspection","0","0",,,,,"4",,
"50102339","ONE TWO THAI","Manhattan","153","EAST   33 STREET","10016","6469186144","Thai","08/27/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","48",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,74553434939","-73,9797322298","106","04","007200","1018497","1008890029","MN20","POINT (-73.9797322298 40.745534349385)"
"50065314","SWEETGREEN DUMBO","Brooklyn","50","WASHINGTON STREET","11201","3479874185","Salads","04/26/2022","Violations were cited in the following area(s).","16C","Required calorie information not posted/improperly posted.","Not Applicable",,,,"01/02/2026","Calorie Posting / Initial Inspection","40,70282710089","-73,98961656255","302","33","002100","3329425","3000370001","BK38","POINT (-73.989616562553 40.702827100892)"
"50100349","JERK HOUSE CARIBBEAN RESTAURANT","Manhattan","2143","ADAM CLAYTON POWELL JR BOULEVARD",,"9176577477","Caribbean","11/06/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","13","A","11/06/2025","01/02/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50169389","JOHN REYES","Brooklyn","1218","BOWERY","11224","6464079438",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,5747708271","-73,98017661009","313","47","035200","3245143","3086950064","BK21","POINT (-73.980176610089 40.574770827097)"
"50156721","YAKKASAROY HALL INC","Brooklyn","2896","WEST   12 STREET","11224","9179574370",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,57703792682","-73,97962876594","313","47","035000","3336561","3072660220","BK23","POINT (-73.979628765938 40.577037926824)"
"50046746","MCDONALD'S","Brooklyn","180","PARKSIDE AVENUE","11226","5162560200","Hamburgers","02/28/2025","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","7","A","02/28/2025","01/02/2026","Cycle Inspection / Initial Inspection","40,6549275884","-73,96171456863","314","40","050803","3000000","3050540009","BK42","POINT (-73.961714568633 40.654927588399)"
"50126972","MASALA CORP","Manhattan","1802","65 STREET",,"9174003090",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"0","0",,,,,"1",,
"50172916","BB16812009LLC","Manhattan","1681","1 AVENUE","10128","6465674404",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,77778108254","-73,94872100863","108","05","014602","1050050","1015500023","MN32","POINT (-73.948721008634 40.777781082541)"
"50083955","CHEONG HEI RESTAURANT","Queens","81-48","BAXTER AVENUE","11373","7184786688","Chinese","03/22/2023","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"01/02/2026","Smoke-Free Air Act / Initial Inspection","40,74616324891","-73,88356384354","404","25","026902","4037189","4015060011","QN29","POINT (-73.883563843536 40.746163248913)"
"50077609","SUSHI KING","Brooklyn","1442","MYRTLE AVENUE","11237","7184433388","Japanese","07/06/2022","Violations were cited in the following area(s).","08C","Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.","Not Critical","0",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,6989328918","-73,91700227412","304","37","043300","3075686","3033080016","BK77","POINT (-73.917002274116 40.698932891796)"
"50171555","TIME 4 BAGELS","Brooklyn","365","SMITH STREET","11231","3476687377",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,67940632893","-73,99541040091","306","39","007700","3336314","3004600001","BK33","POINT (-73.995410400909 40.679406328926)"
"50095003","TWO BROTHERS PIZZA","Bronx","3039","BUHRE AVENUE","10461","7188246261","Pizza","06/18/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","19",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,84743706999","-73,83110231601","210","13","026602","2046599","2041960001","BX10","POINT (-73.83110231601 40.847437069993)"
"41042427","VILLAGE EAST CINEMAS","Manhattan","181","2 AVENUE","10003","2125297098","American","03/12/2024","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","19","B","03/12/2024","01/02/2026","Cycle Inspection / Re-inspection","40,73063947627","-73,98619171086","103","02","004000","1006836","1004670031","MN22","POINT (-73.986191710863 40.730639476271)"
"50114464","MOMO SUSHI","Manhattan","239","PARK AVENUE SOUTH","10003","6464107205","Japanese","03/13/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","25",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,73792428637","-73,98801610629","105","02","005000","1017907","1008750003","MN21","POINT (-73.988016106288 40.737924286365)"
"41458716","101 CAFE","Queens","98-05","101 AVENUE","11416","7188482233","American","05/25/2023","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","10","A","05/25/2023","01/02/2026","Cycle Inspection / Initial Inspection","40,68506320721","-73,84320109989","409","32","003800","4188699","4090750057","QN53","POINT (-73.843201099888 40.685063207207)"
"50124630","YSO SUSHI","Queens","666","ONDERDONK AVENUE","11385","6466233787","Japanese","05/28/2025","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","9","A","05/28/2025","01/02/2026","Cycle Inspection / Initial Inspection","40,7043193499","-73,90781289554","405","34","054700","4082532","4034540040","QN20","POINT (-73.907812895539 40.704319349899)"
"50122872","DOMINO'S PIZZA #3692","Manhattan","1993","3 AVENUE","10029","2128310300","Pizza","04/05/2023","Violations were cited in the following area(s).","16-04","Required succinct nutritional statements not posted on menu(s) for adults and children (2,000 calories per day for adults)","Not Applicable",,,,"01/02/2026","Calorie Posting / Re-inspection","40,79379952207","-73,94303486081","111","08","018000","1052448","1016590048","MN34","POINT (-73.943034860812 40.793799522071)"
"50059939","JUICE BAR NUTRITION","Queens","133-40","79 STREET","11414","9174499959","Juice, Smoothies, Fruit Salads","11/28/2022","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","11","A","11/28/2022","01/02/2026","Cycle Inspection / Re-inspection","40,67182905188","-73,85667513586","410","32","006202","4541230","4113580001","QN57","POINT (-73.856675135856 40.671829051876)"
